name,name_fr,kcal,protein_g,carbs_g,fat_g
apple_pie,tarte_aux_pommes,296,3.7,57.5,14.0
baby_back_ribs,back_ribs,305,22.0,2.0,18.0
baklava,baklava,200,4.0,22.0,12.0
beef_carpaccio,carpaccio_de_boeuf,192,27.0,0.0,8.0
beef_tartare,tartare_de_boeuf,214,25.0,0.0,13.0
beet_salad,salade_de_betteraves,155,3.0,13.0,11.0
beignets,beignets,311,5.0,31.0,18.0
bibimbap,bibimbap,560,20.0,70.0,22.0
bread_pudding,pudding_au_pain,223,6.0,33.0,8.0
breakfast_burrito,burrito,290,12.0,28.0,14.0
bruschetta,bruschetta,150,4.0,18.0,7.0
caesar_salad,salade_caesar,180,7.0,12.0,12.0
cannoli,cannoli,223,5.0,28.0,10.0
caprese_salad,salade_caprese,250,10.0,5.0,20.0
carrot_cake,gâteau_aux_carottes,326,3.0,42.0,17.0
ceviche,ceviche,200,22.0,10.0,8.0
cheesecake,cheesecake,321,6.0,27.0,25.0
cheese_plate,plateau_de_fromages,350,12.0,5.0,30.0
chicken_curry,poulet_curry,340,18.0,12.0,25.0
chicken_quesadilla,quesadilla_au_poulet,285,14.0,22.0,15.0
chicken_wings,ailes_de_poulet,290,17.0,2.0,20.0
chocolate_cake,gâteau_au_chocolat,352,4.0,47.0,17.0
chocolate_mousse,mousse_au_chocolat,260,5.0,20.0,18.0
churros,churros,276,4.0,26.0,17.0
clam_chowder,soupe_aux_coquillages,174,5.0,15.0,10.0
club_sandwich,sandwich_club,350,20.0,30.0,18.0
crab_cakes,crabcakes,330,17.0,12.0,21.0
creme_brulee,crème_brulee,300,5.0,24.0,20.0
croque_madame,croque_madame,370,20.0,24.0,24.0
cup_cakes,cupcakes,234,3.0,32.0,11.0
deviled_eggs,oeufs_durs,150,6.0,1.0,13.0
donuts,donuts,452,4.0,51.0,25.0
dumplings,raviolis,240,8.0,30.0,9.0
edamame,edamame,120,11.0,9.0,5.0
eggs_benedict,oeufs_benedicte,340,17.0,20.0,25.0
escargots,escargots,150,15.0,5.0,10.0
falafel,falafel,333,13.0,31.0,17.0
filet_mignon,filet_mignon,250,26.0,0.0,16.0
fish_and_chips,fish_and_chips,600,28.0,50.0,30.0
foie_gras,foie_gras,462,6.0,2.0,40.0
french_fries,frites,312,3.5,41.0,15.0
french_onion_soup,soupe_aux_oignons,230,7.0,18.0,12.0
french_toast,pain_perdu,227,8.0,26.0,8.0
fried_calamari,calamars_frits,240,15.0,17.0,13.0
fried_rice,riz_frit,238,5.0,33.0,10.0
frozen_yogurt,glace_aux_yaourt,143,4.0,24.0,4.0
garlic_bread,pain_à_l'ail,150,4.0,20.0,6.0
gnocchi,gnocchis,149,4.0,30.0,0.0
greek_salad,salade_grecque,160,4.0,6.0,14.0
grilled_cheese_sandwich,sandwich_fromage_grillé,315,12.0,28.0,18.0
grilled_salmon,saumon_grillé,367,34.0,0.0,22.0
guacamole,guacamole,146,2.0,9.0,13.0
gyoza,gyoza,190,6.0,16.0,12.0
hamburger,hamburger,354,17.0,29.0,19.0
hot_and_sour_soup,soupe_aigre_et_epicée,90,5.0,8.0,4.0
hot_dog,hot_dog,290,11.0,3.0,22.0
huevos_rancheros,huevos_rancheros,310,12.0,24.0,18.0
ice_cream,glace,207,4.0,24.0,11.0
lasagna,lasagne,336,16.0,29.0,17.0
lobster_bisque,bisque_homard,256,7.0,12.0,20.0
lobster_roll_sandwich,sandwich_homard,360,17.0,24.0,24.0
macaroni_and_cheese,macaroni_et_fromage,310,13.0,32.0,16.0
macarons,macarons,460,6.0,48.0,26.0
miso_soup,soupe_miso,40,3.0,6.0,1.0
mussels,moules,172,24.0,7.0,4.0
nachos,nachos,350,9.0,37.0,18.0
omelette,omelette,154,11.0,1.0,11.0
onion_rings,oignon_frits,400,4.0,45.0,22.0
oysters,huîtres,68,8.0,4.0,2.0
pad_thai,pad_thai,569,13.0,67.0,28.0
paella,paella,280,12.0,36.0,8.0
pancakes,pancakes,227,6.0,26.0,10.0
panna_cotta,panna_cotta,315,5.0,20.0,25.0
peking_duck,canard_pékinois,450,24.0,8.0,32.0
pho,pho,350,15.0,40.0,14.0
pizza,pizza,266,11.0,33.0,10.0
pork_chop,côtelette_de_porcs,231,22.0,0.0,15.0
poutine,poutine,740,10.0,67.0,46.0
prime_rib,côte_de_bœuf,291,27.0,0.0,20.0
pulled_pork_sandwich,sandwich_porcs_effilochés,480,22.0,40.0,23.0
ramen,ramen,436,17.0,56.0,20.0
ravioli,raviolis,234,7.0,29.0,8.0
red_velvet_cake,gâteau_velours_rouge,279,3.0,38.0,13.0
risotto,risotto,216,4.0,32.0,7.0
samosa,samousa,262,5.0,30.0,14.0
sashimi,sashimi,40,7.0,0.0,1.0
scallops,coquilles_saint_jacques,111,20.0,5.0,1.0
seaweed_salad,salade_d'algues,70,2.0,6.0,4.0
shrimp_and_grits,crevettes_au_gruau,350,12.0,30.0,15.0
spaghetti_bolognese,spaghetti_bolognaise,350,13.0,46.0,12.0
spaghetti_carbonara,spaghetti_carbonara,530,20.0,60.0,23.0
spring_rolls,rouleaux_de_printemps,150,3.0,18.0,7.0
steak,steak,271,25.0,0.0,19.0
strawberry_shortcake,gâteau_aux_fraises,296,4.0,36.0,14.0
sushi,sushi,37,1.1,7.7,0.1
tacos,tacos,226,10.0,22.0,12.0
takoyaki,takoyaki,240,7.0,30.0,10.0
tiramisu,tiramisu,240,5.0,32.0,12.0
tuna_tartare,tartare_de_thon,143,20.0,2.0,6.0
waffles,gaufres,291,6.0,35.0,13.0
