image,plat_prédit,note,correction,date,confiance,re-entrainement
a75af4bcf61549b684c71423c14ae395.jpg,Guacamole,,,2025-05-12 13:46:01,0.9961,
b21c6153cdcb484487b13a9d1f1e2e07.jpg,Sushi,,,2025-05-12 13:46:18,0.9997,
f8e87c390a3048288f3b2dab2a60e53e.jpeg,Baklava,,,2025-05-12 13:46:43,0.483,
e8d6ec73986f4fad8017d8a3d15ec759.jpg,Apple Pie,,,2025-05-12 13:47:12,0.7256,
a4b71008b17d410eb959c3c8661ec64d.jpeg,Baklava,,,2025-05-12 14:03:35,0.483,
eb851d2952d847d2908044f20588ce13.jpg,Churros,,,2025-05-12 14:10:16,0.8581,
1607b0f6347b4570b40dd0bb7d8b09e0.jpg,Sushi,,,2025-05-26 16:48:29,0.9997,
940edf7c0e8b4af6b5970539aea72826.jpg,Lasagna,,,2025-05-26 16:48:41,0.9689,
2bb612a9d1f74c65b80d0ed856124b42.jpg,Tiramisu,,,2025-05-26 16:48:50,0.9937,
c2b37e0b75614de588165216ba96dfa4.png,Hamburger,,,2025-05-26 16:49:30,0.9711,
6d0df378b89d40ccb8c39db5738c4f03.jpg,Chicken Curry,,,2025-05-26 16:51:09,0.997,
da4b2a173a5e48129bd9fb687e1275ad.jpg,Apple Pie,,,2025-05-30 10:35:01,0.7256,
ff7e41078591426bb604dd5374e26d09.jpg,Spaghetti Bolognese,,,2025-05-30 11:00:19,0.9921,
7eca4315fcb54db485b1d7d3240372ef.jpg,Lasagna,,,2025-05-30 11:00:26,0.9689,
da27680920524051a799c19cccd3ca8d.jpg,Spaghetti Bolognese,,,2025-05-30 11:00:39,0.9921,
fd36d25968824ccab109c78013a60d46.jpg,Chicken Curry,,,2025-06-18 10:53:27,0.997,
a7ea5fcccb2644739c69840e0020668f.jpg,Chicken Curry,,,2025-06-18 11:02:15,0.997,
6afc450451194de1ac620481bc54f628.jpeg,Baklava,,,2025-06-18 11:02:28,0.483,
a4d2d18a44e14011a32ec87032bddfa4.jpeg,Baklava,,,2025-06-18 11:44:35,0.483,
4ff35951397745f1a56f23f3c3f2db18.jpg,Tiramisu,,,2025-06-18 12:09:57,0.9937,
a228a20ddd214cc5abd14a7afb44df5c.jpg,Chicken Curry,,,2025-06-18 12:11:43,0.8693,
24eb6ff1520d4af8bbf1ab7ceb04c019.png,Chicken Curry,,,2025-06-18 12:12:58,0.5489,
6c63e1f0c5c04479bbf8f833a8012aeb.png,Chicken Curry,,,2025-06-23 08:04:07,0.5489,
